,REGISTRY,country_long,country_region,star,country_name,is_national,is_national_exists,is_subset
246,415603299,"                                              China, Jianhu County (2010-2012)","China, Jianhu County",False,China,0,0,1
247,415600799,"                                             China, Jiashan County (2008-2012)","China, Jiashan County",False,China,0,0,1
248,415602399,"                                               China, Jiaxing City (2008-2012)","China, Jiaxing City",False,China,0,0,1
249,415606899,"                                                China, Lianyungang (2008-2012)","China, Lianyungang",False,China,0,0,1
250,415600899,"                                             China, Linzhou County (2008-2012)","China, Linzhou County",False,China,0,0,1
251,415607199,"                                                    China, Liuzhou (2009-2012)","China, Liuzhou",False,China,0,0,1
252,415607599,"                                                   China, Maanshan (2008-2012)","China, Maanshan",False,China,0,0,1
253,415600299,"                                              China, Qidong County (2008-2012)","China, Qidong County",False,China,0,0,1
254,415600399,"                                              China, Shanghai City (2008-2012)","China, Shanghai City",False,China,0,0,1
255,415608399,"                                                   China, Shenyang (2008-2012)","China, Shenyang",False,China,0,0,1
256,415601699,"                                            *China, Shexian County (2008-2012)","China, Shexian County",True,China,0,0,1
257,415608499,"                                                    China, Sheyang (2008-2012)","China, Sheyang",False,China,0,0,1
258,415608899,"                                              China, Tongling City (2008-2012)","China, Tongling City",False,China,0,0,1
259,415600999,"                                                 China, Wuhan City (2008-2012)","China, Wuhan City",False,China,0,0,1
260,415609299,"                                                       China, Wuxi (2010-2012)","China, Wuxi",False,China,0,0,1
261,415609399,"                                                     China, Xianju (2010-2012)","China, Xianju",False,China,0,0,1
262,415609699,"                                                     China, Xiping (2010-2012)","China, Xiping",False,China,0,0,1
263,415609999,"                                                     China, Yanshi (2010-2012)","China, Yanshi",False,China,0,0,1
264,415601899,"                                             China, Yanting County (2008-2012)","China, Yanting County",False,China,0,0,1
265,415610299,"                                                 China, Yueyanglou (2009-2012)","China, Yueyanglou",False,China,0,0,1
266,415601499,"                                             China, Zhongshan City (2010-2012)","China, Zhongshan City",False,China,0,0,1
267,415610599,"                                                     China, Zhuhai (2010-2012)","China, Zhuhai",False,China,0,0,1
268,435600199,"                                                 *India, Ahmedabad (2008-2011)","India, Ahmedabad",True,India,0,0,1
269,435600299,"                                                 *India, Bangalore (2008-2012)","India, Bangalore",True,India,0,0,1
270,435600799,"                                 *India; Barshi, Paranda, and Bhum (2008-2012)","India; Barshi, Paranda, and Bhum",True,India,0,0,1
271,435601499,"                                                    *India, Bhopal (2008-2012)","India, Bhopal",True,India,0,0,1
272,435602599,"                                                    *India, Cachar (2008-2012)","India, Cachar",True,India,0,0,1
273,435600499,"                                                   *India, Chennai (2008-2012)","India, Chennai",True,India,0,0,1
